?city ?year ?population .
<http://dbpedia.org/resource/Quilmes> "1991" "511234"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resistencia> "1991" "229212"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resistencia> "1991" "292287"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/R%C3%ADo%20Cuarto> "1991" "134355"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/R%C3%ADo%20Cuarto> "1991" "138853"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rosario> "1991" "907718"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rosario> "1991" "1118905"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salta> "1991" "367550"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salta> "1991" "370904"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Fernando%2C_Trinidad_and_Tobago> "1991" "141063"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Isidro> "1991" "299023"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "1991" "119423"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "1991" "352691"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Miguel%20De%20Tucum%C3%A1N> "1991" "470809"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Miguel%20De%20Tucum%C3%A1N> "1991" "622324"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Nicol%C3%A1s-Villa%20Constituci%C3%B3n> "1991" "119302"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Salvador%20de%20Jujuy-Palpal%C3%A1> "1991" "178748"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Salvador%20de%20Jujuy-Palpal%C3%A1> "1991" "180102"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20F%C3%A9> "1991" "353063"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20F%C3%A9> "1991" "406388"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santiago%20del%20Estero-La%20Banda> "1991" "189947"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santiago%20del%20Estero-La%20Banda> "1991" "263471"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vicente%20L%C3%B3Pez> "1991" "289505"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2011" "121976"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2011" "1060138"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vanadzoz%20%28Kirovakan%29> "2009" "104825"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2009" "146355"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2009" "1116648"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vanadzoz%20%28Kirovakan%29> "2008" "104886"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2008" "146704"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2008" "1109580"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vanadzoz%20%28Kirovakan%29> "2007" "105100"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2007" "147350"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2007" "1106383"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vanadzoz%20%28Kirovakan%29> "2006" "105300"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2006" "148000"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2006" "1104398"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vanadzoz%20%28Kirovakan%29> "2004" "105900"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2004" "149200"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2004" "1102427"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Vanadzoz%20%28Kirovakan%29> "2001" "107394"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gyumri> "2001" "150917"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Yerevan> "2001" "1103488"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Oranjestad%2C_Aruba> "2010" "28295"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Oranjestad%2C_Aruba> "1991" "20045"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adelaide> "2012" "1250795"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Brisbane> "2012" "2099328"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cairns> "2012" "142124"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Canberra-Queanbeyan> "2012" "412049"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Central%20Coast> "2012" "317517"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Darwin> "2012" "116215"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Geelong> "2012" "179689"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gold%20Coast-Tweed%20Heads> "2012" "592389"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Adelaide> "2012" "1278432"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Brisbane> "2012" "2192065"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Darwin> "2012" "131938"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Hobart> "2012" "216981"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Melbourne> "2012" "4248344"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Perth> "2012" "1899999"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Greater%20Sydney> "2012" "4672619"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Hobart> "2012" "205557"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Melbourne> "2012" "4086734"^^<http://www.w3.org/2001/XMLSchema#double> .
